Z35 candidate u values: 6
Z45 candidate u values: 4
JOBS 154
Z2xZ24 t=1/3 u=1/2 | TOR [ 2, 24 ] | ORD 48 | 2RK [ 2, 2 ] | E 2730 [ 2, 6 ] | F 210 [ 2, 8 ] | MODEL 1884153600000000*X^6 + 1186894896160000*X^4 + 138300003280800*X^2 + 227851578045
Z2xZ24 t=1/3 u=1/2 | TOR [ 2, 24 ] | ORD 48 | 2RK [ 2, 2 ] | E 2730 [ 2, 6 ] | F 210 [ 2, 8 ] | MODEL 6042086400000000*X^6 + 3800840872410000*X^4 + 430784678153925*X^2 - 730672340580
Z2xZ24 t=2/3 u=1/2 | TOR [ 2, 24 ] | ORD 48 | 2RK [ 2, 2 ] | E 30030 [ 2, 6 ] | F 210 [ 2, 8 ] | MODEL -6423172247760278841600*X^6 + 1566526690632169504161*X^4 + 610208134231809253833*X^2 - 90490760363203200
Z2xZ24 t=2/3 u=1/2 | TOR [ 2, 24 ] | ORD 48 | 2RK [ 2, 2 ] | E 30030 [ 2, 6 ] | F 210 [ 2, 8 ] | MODEL 3368171023496635910400*X^6 - 1187865876015014217791*X^4 + 100724850754568124777*X^2 + 47451375300700800
Z2xZ24 t=2/3 u=1/2 | TOR [ 2, 24 ] | ORD 48 | 2RK [ 2, 2 ] | E 30030 [ 2, 6 ] | F 210 [ 2, 8 ] | MODEL 10017998858000860650*X^6 - 3541785963612690101*X^4 + 302901979463486172*X^2 - 141135298729425
Z2xZ24 t=2/3 u=1/2 | TOR [ 2, 24 ] | ORD 48 | 2RK [ 2, 2 ] | E 30030 [ 2, 6 ] | F 210 [ 2, 8 ] | MODEL -10613866687653074630400*X^6 + 2578160519735421091009*X^4 + 1009094433712136671977*X^2 + 149529987662140800
Z2xZ24 t=2/3 u=1/2 | TOR [ 2, 24 ] | ORD 48 | 2RK [ 2, 2 ] | E 30030 [ 2, 6 ] | F 210 [ 2, 8 ] | MODEL 34691071476293694*X^6 + 20695327228472743*X^4 + 2258254993806504*X^2 + 488733808563
Z2xZ24 t=2/3 u=1/2 | TOR [ 2, 24 ] | ORD 48 | 2RK [ 2, 2 ] | E 30030 [ 2, 6 ] | F 210 [ 2, 8 ] | MODEL 281240157554974464*X^6 + 167744901212306649*X^4 + 18234891387973953*X^2 - 3962159929728
Z5xZ10 t=-1 u=-1/3 | TOR [ 5, 10 ] | ORD 50 | 2RK [ 2 ] | E 150 [ 10 ] | F 570 [ 10 ] | MODEL 102022400000000*X^6 + 2587351240175625*X^4 + 24863474124887625*X^2 + 73663281259292160
Z5xZ10 t=-1 u=-1/3 | TOR [ 5, 10 ] | ORD 50 | 2RK [ 2 ] | E 150 [ 10 ] | F 570 [ 10 ] | MODEL 712500000*X^6 + 1626530625*X^4 + 71253006750*X^2 - 514446708735
Z5xZ10 t=4 u=24/125 | TOR [ 5, 10 ] | ORD 50 | 2RK [ 2 ] | E 11550 [ 10 ] | F 233529078090 [ 10 ] | MODEL -6742978823615344653938892000*X^6 + 112995392511018363800147257050081*X^4 + 17412983862396079457077637496468750*X^2 + 360644122336507317278185583431640625
Z5xZ10 t=4 u=24/125 | TOR [ 5, 10 ] | ORD 50 | 2RK [ 2 ] | E 11550 [ 10 ] | F 233529078090 [ 10 ] | MODEL -132180176639303288914402692172032049152000*X^6 + 2761162053134394518655781062225233733043264489*X^4 + 218604804071850767174461294861399354463623140625*X^2 - 7069576375861593882985359535148012409696000000000
Z35 u=1/26 | TOR [ 35 ] | ORD 35 | 2RK [] | E 26 [ 7 ] | F 806 [ 5 ] | MODEL -341*X^6 + 408320*X^4 - 7941648*X^2 + 40213888
