t_num	t_den	p	r	boundary	jorder	jmod3	allowed
1	2	43	inf	1	0	-1	1
1	2	47	0	1	0	-1	1
1	2	47	1	1	0	-1	1
1	2	47	2	0	1920	0	1
1	2	47	3	0	2304	0	1
1	2	47	4	0	2304	0	1
1	2	47	5	0	2688	0	1
1	2	47	6	1	0	-1	1
1	2	47	7	1	0	-1	1
1	2	47	8	1	0	-1	1
1	2	47	9	0	1920	0	1
1	2	47	10	0	2688	0	1
1	2	47	11	0	2688	0	1
1	2	47	12	0	2304	0	1
1	2	47	13	0	2304	0	1
1	2	47	14	0	1920	0	1
1	2	47	15	0	2304	0	1
1	2	47	16	0	2304	0	1
1	2	47	17	0	2688	0	1
1	2	47	18	0	1920	0	1
1	2	47	19	0	2688	0	1
1	2	47	20	0	2688	0	1
1	2	47	21	0	1920	0	1
1	2	47	22	0	2304	0	1
1	2	47	23	0	2688	0	1
1	2	47	24	0	1920	0	1
1	2	47	25	0	2304	0	1
1	2	47	26	0	2304	0	1
1	2	47	27	1	0	-1	1
1	2	47	28	0	2304	0	1
1	2	47	29	0	2304	0	1
1	2	47	30	0	2688	0	1
1	2	47	31	0	1920	0	1
1	2	47	32	0	2304	0	1
1	2	47	33	0	2688	0	1
1	2	47	34	0	1920	0	1
1	2	47	35	0	1920	0	1
1	2	47	36	0	2688	0	1
1	2	47	37	0	1920	0	1
1	2	47	38	0	2304	0	1
1	2	47	39	0	2304	0	1
1	2	47	40	0	2688	0	1
1	2	47	41	0	2304	0	1
1	2	47	42	0	2304	0	1
1	2	47	43	0	1920	0	1
1	2	47	44	0	1920	0	1
1	2	47	45	0	2688	0	1
1	2	47	46	1	0	-1	1
1	2	47	inf	1	0	-1	1
1	2	53	0	1	0	-1	1
1	2	53	1	1	0	-1	1
1	2	53	2	0	3072	0	1
1	2	53	3	1	0	-1	1
1	2	53	4	0	3072	0	1
1	2	53	5	0	4096	1	0
1	2	53	6	0	3072	0	1
1	2	53	7	0	3072	0	1
1	2	53	8	0	3072	0	1
1	2	53	9	0	3072	0	1
1	2	53	10	0	3072	0	1
1	2	53	11	0	4096	1	0
1	2	53	12	0	4096	1	0
1	2	53	13	0	3072	0	1
1	2	53	14	1	0	-1	1
1	2	53	15	0	4096	1	0
1	2	53	16	0	3072	0	1
1	2	53	17	0	4096	1	0
1	2	53	18	1	0	-1	1
1	2	53	19	1	0	-1	1
1	2	53	20	0	3072	0	1
1	2	53	21	0	4096	1	0
1	2	53	22	0	3072	0	1
1	2	53	23	0	4096	1	0
1	2	53	24	0	4096	1	0
1	2	53	25	0	4096	1	0
1	2	53	26	0	3072	0	1
1	2	53	27	0	3072	0	1
1	2	53	28	0	3072	0	1
1	2	53	29	0	4096	1	0
1	2	53	30	0	4096	1	0
1	2	53	31	0	4096	1	0
1	2	53	32	0	4096	1	0
1	2	53	33	0	3072	0	1
1	2	53	34	0	4096	1	0
1	2	53	35	0	4096	1	0
1	2	53	36	0	3072	0	1
1	2	53	37	1	0	-1	1
1	2	53	38	0	3072	0	1
1	2	53	39	0	4096	1	0
1	2	53	40	0	3072	0	1
1	2	53	41	0	3072	0	1
1	2	53	42	0	4096	1	0
1	2	53	43	1	0	-1	1
1	2	53	44	0	3072	0	1
1	2	53	45	0	3072	0	1
1	2	53	46	0	4096	1	0
1	2	53	47	0	3072	0	1
1	2	53	48	0	4096	1	0
1	2	53	49	0	3072	0	1
1	2	53	50	0	4096	1	0
1	2	53	51	0	3072	0	1
1	2	53	52	1	0	-1	1
1	2	53	inf	1	0	-1	1
1	2	59	0	1	0	-1	1
1	2	59	1	1	0	-1	1
1	2	59	2	0	3456	0	1
1	2	59	3	0	2688	0	1
1	2	59	4	0	2688	0	1
1	2	59	5	0	3456	0	1
1	2	59	6	0	3072	0	1
1	2	59	7	0	3072	0	1
1	2	59	8	0	2688	0	1
1	2	59	9	0	3072	0	1
1	2	59	10	0	3072	0	1
1	2	59	11	0	3456	0	1
1	2	59	12	0	3456	0	1
1	2	59	13	0	2688	0	1
1	2	59	14	0	3072	0	1
1	2	59	15	0	2688	0	1
1	2	59	16	0	3072	0	1
1	2	59	17	0	3072	0	1
1	2	59	18	0	2688	0	1
1	2	59	19	1	0	-1	1
1	2	59	20	0	2688	0	1
1	2	59	21	0	3072	0	1
1	2	59	22	0	3072	0	1
1	2	59	23	0	2688	0	1
1	2	59	24	1	0	-1	1
1	2	59	25	0	2688	0	1
1	2	59	26	0	2688	0	1
1	2	59	27	0	3456	0	1
1	2	59	28	1	0	-1	1
1	2	59	29	0	2304	0	1
1	2	59	30	0	3456	0	1
1	2	59	31	0	2304	0	1
1	2	59	32	1	0	-1	1
1	2	59	33	0	3456	0	1
1	2	59	34	0	3456	0	1
1	2	59	35	0	3456	0	1
