m	n	k	torsion_coset
643	868	145	1
645	-882	321	1
645	-378	753	1
645	198	681	1
650	-577	-719	2
650	-577	-359	2
650	-289	-935	2
650	-73	793	2
650	503	1	2
650	503	-359	2
654	-309	429	1
658	703	685	1
662	-925	265	2
662	-925	769	2
662	-637	913	2
662	-133	913	2
662	155	625	2
663	-864	249	1
663	-72	249	1
663	216	609	1
666	-921	645	1
666	663	933	1
669	-738	-327	1
669	54	-471	1
669	342	33	1
673	-230	-647	1
673	850	-287	1
681	-774	537	1
681	-558	609	1
681	-558	-255	1
681	522	105	1
681	522	969	1
684	-615	717	1
684	-615	-3	1
684	465	357	1
686	-469	-719	2
686	-253	217	2
686	-253	-935	2
686	539	73	2
686	539	-935	2
686	827	577	2
686	827	-575	2
687	-432	-327	1
687	72	105	1
687	648	33	1
691	-716	-287	1
691	364	73	1
698	-25	265	2
698	-25	-527	2
698	479	985	2
699	36	465	1
699	36	969	1
700	361	-467	1
705	-918	33	1
705	-918	-831	1
705	162	393	1
705	162	-471	1
